gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4039541638,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149245467,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Buenos Aires,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-38.647959,-59.529809,28210,NA,NA,NA,NA,NA,2023-02-20T11:34:56Z,20,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,149245467,NA,Alejandro Duvieilh,2023-02-20T17:37:00Z,CC_BY_NC_4_0,Alejandro Duvieilh,Alejandro Duvieilh,NA,NA,2023-04-19T13:26:51Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4039541622,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149240550,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Buenos Aires,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-38.529676,-58.632102,28240,NA,NA,NA,NA,NA,2023-02-20T10:19:21Z,20,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,149240550,NA,lucianv,2023-02-20T16:33:28Z,CC_BY_NC_4_0,lucianv,lucianv,NA,NA,2023-04-19T13:18:01Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4039541366,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149127558,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,CL,NA,Magallanes y Antártica Chilena,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-54.905288,-67.373847,3,NA,NA,NA,NA,NA,2023-02-18T12:01:19Z,18,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,149127558,NA,dhopp45,2023-02-19T12:58:24Z,CC_BY_NC_4_0,dhopp45,dhopp45,NA,NA,2023-04-19T13:26:51Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4039540685,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149246754,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Buenos Aires,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-38.650705,-59.72709,28210,NA,NA,NA,NA,NA,2023-02-20T13:01:59Z,20,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,149246754,NA,Alejandro Duvieilh,2023-02-20T17:53:34Z,CC_BY_NC_4_0,Alejandro Duvieilh,Alejandro Duvieilh,NA,NA,2023-04-19T13:26:51Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4039537815,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149246323,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Buenos Aires,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-38.727061,-59.441642,28210,NA,NA,NA,NA,NA,2023-02-20T11:48:03Z,20,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,149246323,NA,Alejandro Duvieilh,2023-02-20T17:48:47Z,CC_BY_NC_4_0,Alejandro Duvieilh,Alejandro Duvieilh,NA,NA,2023-04-19T13:24:32Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4039533951,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149325785,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Buenos Aires,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-38.858958,-60.380596,28181,NA,NA,NA,NA,NA,2023-02-21T12:19:10Z,21,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,149325785,NA,Alejandro Duvieilh,2023-02-21T15:21:19Z,CC_BY_NC_4_0,Alejandro Duvieilh,Alejandro Duvieilh,NA,NA,2023-04-19T13:20:28Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4039533946,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149324960,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Buenos Aires,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-38.984686,-60.399892,28181,NA,NA,NA,NA,NA,2023-02-21T12:08:47Z,21,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,149324960,NA,Alejandro Duvieilh,2023-02-21T15:09:53Z,CC_BY_NC_4_0,Alejandro Duvieilh,Alejandro Duvieilh,NA,NA,2023-04-19T13:26:46Z,StillImage,COORDINATE_ROUNDED
4039532919,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149334495,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Buenos Aires,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-38.851608,-60.268051,28181,NA,NA,NA,NA,NA,2023-02-21T12:47:59Z,21,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,149334495,NA,Alejandro Duvieilh,2023-02-21T17:14:38Z,CC_BY_NC_4_0,Alejandro Duvieilh,Alejandro Duvieilh,NA,NA,2023-04-19T13:20:51Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4039529645,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149245481,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Buenos Aires,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-38.618145,-59.584983,28210,NA,NA,NA,NA,NA,2023-02-20T11:40:52Z,20,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,149245481,NA,Alejandro Duvieilh,2023-02-20T17:37:12Z,CC_BY_NC_4_0,Alejandro Duvieilh,Alejandro Duvieilh,NA,NA,2023-04-19T13:27:38Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4039529638,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149238881,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus magellanicus,NA,SPECIES,"Spheniscus magellanicus (J.R.Forster, 1781)",Spheniscus magellanicus,NA,AR,NA,Buenos Aires,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-38.79083,-59.575213,28210,NA,NA,NA,NA,NA,2023-02-20T11:25:12Z,20,2,2023,5229385,5229385,HUMAN_OBSERVATION,iNaturalist,Observations,149238881,NA,Alejandro Duvieilh,2023-02-20T16:09:20Z,CC_BY_NC_4_0,Alejandro Duvieilh,Alejandro Duvieilh,NA,NA,2023-04-19T13:21:05Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
