gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4012473776,f7c30fac-cf80-471f-8343-4ec5d8594661,barbraud2020population:PGEO:2017:EMPE:nests,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,NA,SPECIES,"Aptenodytes forsteri G.R.Gray, 1844",Aptenodytes forsteri,"Gray, 1844",AQ,Point Geologie,NA,PRESENT,NA,104e9c96-791b-4f14-978c-f581cb214912,-66.6744,140.0052,4771,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,NA,NA,2017,2481661,2481661,MACHINE_OBSERVATION,NA,NA,NA,NA,NA,NA,CC_BY_4_0,NA,NA,NA,NA,2023-04-17T16:13:09Z,NA,NA
4012470860,f7c30fac-cf80-471f-8343-4ec5d8594661,kpri2020report6:WASH:2017:EMPE:chicks,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,NA,SPECIES,"Aptenodytes forsteri G.R.Gray, 1844",Aptenodytes forsteri,"Gray, 1844",AQ,Cape Washington,NA,PRESENT,NA,104e9c96-791b-4f14-978c-f581cb214912,-74.6373,165.3821,NA,NA,NA,NA,NA,NA,2017-01-01T00:00:00Z,NA,NA,2017,2481661,2481661,HUMAN_OBSERVATION,NA,NA,NA,NA,NA,NA,CC_BY_4_0,NA,NA,NA,NA,2023-04-17T16:13:08Z,NA,NA
3902583603,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/131247953,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,NA,SPECIES,"Aptenodytes forsteri G.R.Gray, 1844",Aptenodytes forsteri,NA,AQ,NA,NA,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-74.038625,-127.502389,23059,NA,NA,NA,NA,NA,2017-02-12T07:23:00Z,12,2,2017,2481661,2481661,HUMAN_OBSERVATION,iNaturalist,Observations,131247953,NA,manatok,2022-08-17T20:32:16Z,CC_BY_NC_4_0,manatok,manatok,NA,NA,2023-04-19T13:19:57Z,StillImage,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3902346146,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/131246232,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,NA,SPECIES,"Aptenodytes forsteri G.R.Gray, 1844",Aptenodytes forsteri,NA,AQ,NA,NA,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-65.424069,158.078965,24076,NA,NA,NA,NA,NA,2017-02-02T10:08:00Z,2,2,2017,2481661,2481661,HUMAN_OBSERVATION,iNaturalist,Observations,131246232,NA,manatok,2022-08-17T20:16:10Z,CC_BY_NC_4_0,manatok,manatok,NA,NA,2023-04-19T13:26:32Z,StillImage,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
3825486480,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/233006699,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,NA,SPECIES,"Aptenodytes forsteri G.R.Gray, 1844",Aptenodytes forsteri,NA,AQ,Antarctica - Weddell Sea - Snow Hill Island,NA,PRESENT,1000,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-64.5195,-57.5006,25,NA,NA,NA,NA,NA,2017-11-18T00:00:00Z,18,11,2017,2481661,2481661,HUMAN_OBSERVATION,NA,Observations,OBS.233006699,NA,NA,NA,CC_BY_NC_4_0,Stichting Observation International,User 247,NA,NA,2023-04-18T13:16:59Z,NA,CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3822339861,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/135951883,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,NA,SPECIES,"Aptenodytes forsteri G.R.Gray, 1844",Aptenodytes forsteri,NA,AQ,Antarctica - Ross Sea (West),NA,PRESENT,1,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-72.2905,170.2211,10,NA,NA,NA,NA,NA,2017-02-23T00:00:00Z,23,2,2017,2481661,2481661,HUMAN_OBSERVATION,NA,Observations,OBS.135951883,NA,NA,NA,CC_BY_NC_4_0,Stichting Observation International,User 247,NA,NA,2023-04-18T13:15:32Z,NA,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3715514061,8a863029-f435-446a-821e-275f4f641165,https://observation.org/observation/146385279,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,NA,SPECIES,"Aptenodytes forsteri G.R.Gray, 1844",Aptenodytes forsteri,NA,AQ,Antarctica - Weddell Sea - Snow Hill Island,NA,PRESENT,1000,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,-64.519507,-57.500553,1000,NA,NA,NA,NA,NA,2017-11-20T00:00:00Z,20,11,2017,2481661,2481661,HUMAN_OBSERVATION,NA,Observations,OBS.146385279,NA,NA,NA,CC_BY_NC_4_0,Stichting Observation International,User 247,NA,NA,2023-04-18T13:13:50Z,NA,CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3642474783,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1278999121,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,NA,SPECIES,"Aptenodytes forsteri G.R.Gray, 1844",Aptenodytes forsteri,NA,AQ,Wilhelmina Bay,Antarctica,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-64.654655,-62.15337,NA,NA,NA,NA,NA,NA,2017-11-06T00:00:00Z,6,11,2017,2481661,2481661,HUMAN_OBSERVATION,CLO,EBIRD,OBS1278999121,NA,NA,NA,CC_BY_4_0,NA,obsr150104,NA,NA,2023-01-24T15:22:48Z,NA,CONTINENT_DERIVED_FROM_COORDINATES
3534531304,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS1195057167,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,NA,SPECIES,"Aptenodytes forsteri G.R.Gray, 1844",Aptenodytes forsteri,NA,AQ,Cape Astrup,Antarctica,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,-64.71083,-63.182777,NA,NA,NA,NA,NA,NA,2017-01-16T00:00:00Z,16,1,2017,2481661,2481661,HUMAN_OBSERVATION,CLO,EBIRD,OBS1195057167,NA,NA,NA,CC_BY_4_0,NA,obsr754941,NA,NA,2023-01-24T15:08:53Z,NA,CONTINENT_DERIVED_FROM_COORDINATES
3415474918,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/96777720,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes forsteri,NA,SPECIES,"Aptenodytes forsteri G.R.Gray, 1844",Aptenodytes forsteri,NA,AQ,NA,NA,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-65.972623,146.845069,44013,NA,NA,NA,NA,NA,2017-01-31T13:48:00Z,31,1,2017,2481661,2481661,HUMAN_OBSERVATION,iNaturalist,Observations,96777720,NA,manatok,2021-10-01T13:00:48Z,CC_BY_NC_4_0,manatok,manatok,NA,NA,2023-04-19T13:16:50Z,StillImage,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES
